No,BookTitleEng,BookTitleMN,AuthorEng,AuthorMN,IllustratorEng,IllustratorBurmese,Price,ISBN,Language
59,Bellieve Me I'm a Rabbit,ယုန်ဆိုတာယုံပါ,Ye Min Kyaw ,ရဲမင်း‌ကျော်,Aung Khant Zaw (Haru),ဟာရု,3000,ISBN 978-99971-43-05-1,Bilingual (M/E)
60,The Bravest One,သတ္တိအရှိဆုံးသူ,Aung Myo Htet,အောင်မျိုးထက်,ATH,အေတီအိပ်ချ်,3000,ISBN 978-99971-43-04-4,Bilingual (M/E)
61,Owner of Apple,ပန်းသီးပိုင်ရှင်,Zaw lin Oo ,ဇော်လင်းဦး,Kan Htoo Aung,ကံထူးအောင်,3000,ISBN 978-99971-43-07-5,Bilingual (M/E)
62,Peace from the heart ,ရင်မှဖြစ်သော ငြိမ်းချမ်းရေး,U Myint Cho,ဦးမြင့်ချို,Thiha (Sakhan Thit),သီဟ(စခန်းသစ်),3000,ISBN 978-99971-43-08-2,Bilingual (M/E)
63,Say No,ဟင့်အင်း,Tara Ko,ထာရာကို,Su Myat Htwe,စုမြတ်ထွေး,3000,ISBN 978-99971-73-96-6,Bilingual (M/E)
64,Pinnochioo and Yamin,ပီနိုကီယိုနဲ့ယမင်း,Than Lwin Myint,သံလွင်မြင့်,Wa Lone,ဝလုံး,5000,ISBN 978-99971-43-00-6,Bilingual (M/E)
65,Cho ,ချိုဗြောက်သီးခူးချင်တယ်,Su Myat Htay,ဆုမြတ်ဠေး,Htet Htet Aung,ထက်ထက်အောင်,3500,ISBN 978-99971-43-02-0,Bilingual (M/E)
66,Jay Jay and the Lost Bicycle,သတင်း‌ထောက်လေး‌ဂျေဂျေနှင့်ပျောက်ဆုံးနေသောစက်ဘီးလေး,Phoe Wa Lone,ဖိုးဝလုံး,Kar Gyi,ကာကြီး,3000,ISBN 978-99971-73-94-2,Bilingual (M/E)
67,Green Leader,အစိမ်းရောင်ခေါင်းဆောင်,Min Ko Naing,မင်းကိုနိုင်,Min Ko Naing,မင်းကိုနိုင်,3500,ISBN 978-99971-43-57-0,Bilingual (M/E)
68,Nat Pauk Si,နတ်ပေါက်စီရဲ့အသက်ရှည်ဆေး,U U Pone Pyin (Dr. ZarNi Win),ဦးဦးပုံပြင်(‌ဒေါက်တာဇာနည်ဝင်း),Kan Htoo Aung,ကံထူးအောင်,3500,ISBN 978-99971-73-98-0,Myanmar
